col.name,var.class,uniqueness,requiredness,allowedvalues,description
sample_name,character,unique,required,*,"primary sample identifier"
alt_sample_name,character,unique,optional,*,"if another identifier is used, for example in supplemental tables"
unique_patient_ID,character,non-unique,optional,*,"Use this column if there are technical replicates.  If this column contains non-unique entries, expression values of those arrays will eventually be averaged."
sample_type,character,non-unique,optional,tumor|metastatic|healthy|adjacentnormal,"healthy should be only from individuals without cancer, metastatic for non-primary tumors"
er,character,non-unique,optional,positive|negative,"Estrogen Receptor status"
pgr,character,non-unique,optional,positive|negative,"Progesterone Receptor status"
her2,character,non-unique,optional,positive|negative,"HER2 status"
tumor_size,decimalonly,non-unique,optional,decimal,"tumor size in centimeters"
T,integer,non-unique,optional,1|2|3|4,"T (1-4): size in TNM staging: see http://www.cancer.gov/cancertopics/pdq/treatment/breast/healthprofessional/page3."
N,integer,non-unique,optional,0|1,"N (0/1): spread to regional lymph nodes no/yes"
age_at_initial_pathologic_diagnosis,numeric,non-unique,optional,decimal,"age at initial pathologic diagnosis"
grade,integer,non-unique,optional,1|2|3,"Taken directly from Haibe-Kains paper, PMID 22262870"
dmfs_days,numeric,non-unique,optional,decimal,"Potentially censored number of days from diagnosis to distant metastasis or death (dmfs)."
dmfs_status,character,non-unique,optional,living_norecurrence|deceased_or_recurrence,"Distant metaastasis-free survival (dmfs) censoring variable."
days_to_tumor_recurrence,integer,non-unique,optional,decimal,"This is a potentially censored time from diagnosis to recurrence (rfs)."
recurrence_status,character,non-unique,optional,living_norecurrence|deceased_or_recurrence,"recurrence (rfs) status censoring variable"
days_to_death,integer,non-unique,optional,decimal,"This is a potentially censored time from diagnosis to death."
vital_status,character,non-unique,optional,living|deceased,"overall survival censoring variable"
tissue,numeric,non-unique,optional,normal|tumor|DCIS|metastasis.or.recurrence|after.treatment,needs explanation
treatment,integer,non-unique,optional,untreated|chemotherapy|hormonotherapy|endocrine|chemo.plus.hormono,needs explanation
percent_normal_cells,character,non-unique,optional,\d+[+-]?,"estimated percentage of normal cells"
percent_stromal_cells,character,non-unique,optional,\d+[+-]?,"estimated percentage of stromal cells"
percent_tumor_cells,character,non-unique,optional,\d+[+-]?,"estimated percentage of tumor cells"
batch,character,non-unique,optional,*,"batch variable - hybridization date when Affymetrix CEL files are available."
uncurated_author_metadata,character,non-unique,optional,*,"original uncurated data, with each field separated by ///."
